Genus/species/complex	Serotype	NCBI accession no.	Length	TMS	Original HMM detected (score >20)
Abaumannii	KL14		460	12	PF14296.11
Abaumannii	KL140		369	12	-
Abaumannii	KL141		351	12	PF14897.12
Abaumannii	KL142		330	11	PF14897.12
Abaumannii	KL143		328	11	PF14897.12
Abaumannii	KL144		321	11	PF14897.12
Abaumannii	KL145		375	12	PF04932.20
Abaumannii	KL146		430	11	TIGR04370.1
Abaumannii	KL147		468	12	TIGR04370.1
Abaumannii	KL148		373	12	PF14897.12
Abaumannii	KL149		311	11	-
Abaumannii	KL15		468	12	TIGR04370.1
Abaumannii	KL150		388	12	PF04932.20
Abaumannii	KL151		396	12	-
Abaumannii	KL152		396	12	-
Abaumannii	KL153		368	12	PF04932.20
Abaumannii	KL154		396	10	TIGR04370.1
Abaumannii	KL155		363	12	-
Abaumannii	KL156		360	12	PF04932.20
Abaumannii	KL157		455	12	PF14296.11
Abaumannii	KL158		385	10	TIGR04370.1
Abaumannii	KL159		310	10	PF14897.12
Abaumannii	KL16		381	12	PF04932.20
Abaumannii	KL160		326	12	PF14897.12
Abaumannii	KL161		417	12	PF04932.20
Abaumannii	KL162		344	12	PF14897.12
Abaumannii	KL163		338	12	PF14897.12
Abaumannii	KL164		365	12	PF14897.12
Abaumannii	KL165		277	10	PF14897.12
Abaumannii	KL166		265	10	PF14897.12
Abaumannii	KL167		381	12	PF04932.20
Abaumannii	KL168		311	11	-
Abaumannii	KL169		326	12	PF14897.12
Abaumannii	KL17		432	11	TIGR04370.1
Abaumannii	KL170		326	12	PF14897.12
Abaumannii	KL171		427	12	PF04932.20
Abaumannii	KL172		418	10	TIGR04370.1
Abaumannii	KL173		311	11	-
Abaumannii	KL174		366	12	PF04932.20
Abaumannii	KL175		361	12	-
Abaumannii	KL176		356	12	PF14897.12
Abaumannii	KL177		326	12	PF14897.12
Abaumannii	KL178		357	12	PF14897.12
Abaumannii	KL179		445	12	TIGR04370.1
Abaumannii	KL18		432	11	TIGR04370.1
Abaumannii	KL180		393	12	-
Abaumannii	KL181		355	12	PF14897.12
Abaumannii	KL182		407	12	PF04932.20
Abaumannii	KL183		324	11	PF14897.12
Abaumannii	KL184		427	12	-
Abaumannii	KL185		404	12	-
Abaumannii	KL186		330	11	PF14897.12
Abaumannii	KL187		368	12	-
Abaumannii	KL188		364	12	PF04932.20
Abaumannii	KL189		355	12	PF14897.12
Abaumannii	KL190		378	12	-
Abaumannii	KL191		430	12	-
Abaumannii	KL192		406	11	TIGR04370.1
Abaumannii	KL193		310	10	PF14897.12
Abaumannii	KL194		426	12	TIGR04370.1
Abaumannii	KL195		354	12	PF14897.12
Abaumannii	KL196		343	11	PF14897.12
Abaumannii	KL197		347	11	PF14897.12
Abaumannii	KL198		321	11	PF14897.12
Abaumannii	KL199		420	12	-
Abaumannii	KL2	AHM95427.1	326	12	PF14897.12
Abaumannii	KL20		420	12	-
Abaumannii	KL200		365	12	PF14897.12
Abaumannii	KL201		417	11	TIGR04370.1
Abaumannii	KL202		425	12	-
Abaumannii	KL203		474	12	TIGR04370.1
Abaumannii	KL204		465	12	PF14296.11
Abaumannii	KL205		364	12	PF04932.20
Abaumannii	KL206		355	12	PF14897.12
Abaumannii	KL207		427	11	TIGR04370.1
Abaumannii	KL208		398	12	PF04932.20
Abaumannii	KL209		378	12	PF04932.20
Abaumannii	KL21		417	12	-
Abaumannii	KL210		363	12	-
Abaumannii	KL211		355	12	PF14897.12
Abaumannii	KL212		425	12	TIGR04370.1
Abaumannii	KL213		364	12	-
Abaumannii	KL214		444	12	PF19982.4
Abaumannii	KL215		413	12	PF04932.20
Abaumannii	KL216		326	12	PF14897.12
Abaumannii	KL217		324	11	PF14897.12
Abaumannii	KL218		329	11	-
Abaumannii	KL219		431	11	TIGR04370.1
Abaumannii	KL22		346	11	PF14897.12
Abaumannii	KL220		322	11	PF14897.12
Abaumannii	KL221		395	12	PF04932.20
Abaumannii	KL222		455	12	PF14296.11
Abaumannii	KL223		455	12	PF14296.11
Abaumannii	KL224		342	12	PF14897.12
Abaumannii	KL225		326	12	PF14897.12
Abaumannii	KL226		387	11	TIGR04370.1
Abaumannii	KL227		410	10	TIGR04370.1
Abaumannii	KL228		412	11	-
Abaumannii	KL229		375	12	-
Abaumannii	KL23		446	12	PF19982.4
Abaumannii	KL230		375	12	-
Abaumannii	KL231		455	12	PF14296.11
Abaumannii	KL232		395	10	TIGR04370.1
Abaumannii	KL233		360	12	-
Abaumannii	KL234		324	11	PF14897.12
Abaumannii	KL235		445	12	PF19982.4
Abaumannii	KL236		412	11	-
Abaumannii	KL237		432	11	TIGR04370.1
Abaumannii	KL238		346	12	PF14897.12
Abaumannii	KL239		366	12	-
Abaumannii	KL240		365	12	-
Abaumannii	KL241		324	11	PF14897.12
Abaumannii	KL25		417	11	TIGR04370.1
Abaumannii	KL26		373	12	PF14897.12
Abaumannii	KL27		410	11	PF14897.12
Abaumannii	KL28		353	12	PF14897.12
Abaumannii	KL29		354	12	PF14897.12
Abaumannii	KL3		310	10	PF14897.12
Abaumannii	KL30		378	12	-
Abaumannii	KL31		368	12	PF04932.20
Abaumannii	KL32		365	12	PF14897.12
Abaumannii	KL33		445	12	PF19982.4
Abaumannii	KL34		420	12	-
Abaumannii	KL35		361	10	-
Abaumannii	KL36		326	11	PF14897.12
Abaumannii	KL37		322	10	PF14897.12
Abaumannii	KL38		327	11	PF14897.12
Abaumannii	KL4		450	12	PF14296.11
Abaumannii	KL40		430	12	-
Abaumannii	KL41		345	11	PF14897.12
Abaumannii	KL42		326	12	PF14897.12
Abaumannii	KL43		455	12	PF14296.11
Abaumannii	KL44		361	12	-
Abaumannii	KL45		465	12	PF14296.11
Abaumannii	KL46		329	11	-
Abaumannii	KL47		455	12	PF14296.11
Abaumannii	KL48		337	11	PF14897.12
Abaumannii	KL49		427	12	-
Abaumannii	KL5		329	11	PF14897.12
Abaumannii	KL50		379	12	PF04932.20
Abaumannii	KL51		331	11	PF14897.12
Abaumannii	KL52		343	11	PF14897.12
Abaumannii	KL53		378	11	-
Abaumannii	KL54		399	12	PF14897.12
Abaumannii	KL55		365	12	PF14897.12
Abaumannii	KL56		326	12	PF14897.12
Abaumannii	KL57		389	10	NF033860.0
Abaumannii	KL58		326	12	PF14897.12
Abaumannii	KL59		396	12	PF14897.12
Abaumannii	KL6		435	12	PF19982.4
Abaumannii	KL60		355	12	PF14897.12
Abaumannii	KL61		346	12	PF14897.12
Abaumannii	KL62		365	12	-
Abaumannii	KL63		406	11	TIGR04370.1
Abaumannii	KL64		326	12	PF14897.12
Abaumannii	KL65		378	12	PF04932.20
Abaumannii	KL66		471	12	PF14296.11
Abaumannii	KL67-1		420	10	PF14296.11
Abaumannii	KL67-2		370	12	PF04932.20
Abaumannii	KL68		356	12	-
Abaumannii	KL69		364	12	PF04932.20
Abaumannii	KL7		353	12	PF14897.12
Abaumannii	KL70		311	11	-
Abaumannii	KL71		359	12	PF14897.12
Abaumannii	KL72		368	10	-
Abaumannii	KL73		342	10	PF01901.21
Abaumannii	KL74		412	13	PF14897.12
Abaumannii	KL75		425	12	TIGR04370.1
Abaumannii	KL76		390	12	-
Abaumannii	KL77		445	12	PF19982.4
Abaumannii	KL78		431	12	TIGR04370.1
Abaumannii	KL79		345	11	PF14897.12
Abaumannii	KL8		324	11	PF14897.12
Abaumannii	KL80		346	12	PF14897.12
Abaumannii	KL81		326	12	PF14897.12
Abaumannii	KL82		395	12	-
Abaumannii	KL83		344	12	PF14897.12
Abaumannii	KL84		385	10	TIGR04370.1
Abaumannii	KL85		412	13	PF14897.12
Abaumannii	KL86		327	11	PF14897.12
Abaumannii	KL87		327	11	PF14897.12
Abaumannii	KL88		268	10	PF14897.12
Abaumannii	KL89		355	12	PF14897.12
Abaumannii	KL9		311	11	-
Abaumannii	KL90		355	12	PF14897.12
Abaumannii	KL91		430	12	-
Abaumannii	KL92		420	12	PF04932.20
Abaumannii	KL93		326	12	PF14897.12
Abaumannii	KL94		326	12	PF14897.12
Abaumannii	KL95		303	10	PF04932.20
Abaumannii	KL96		337	11	PF14897.12
Abaumannii	KL97		342	10	PF01901.21
Abaumannii	KL98		324	11	PF14897.12
Abaumannii	KL99		399	12	PF04932.20
Abaumannii	Ph1		347	11	PF14897.12
Abaumannii	Ph2		392	12	PF04932.20
Abaumannii	Ph3		321	11	PF14897.12
Abaumannii	Ph4		331	12	PF14897.12
Citrobacter	O12	AWU66636.1	368	12	-
Citrobacter	O16	AWU66650.1	407	13	PF14897.12
Citrobacter	O22	AWU66665.1	391	10	-
Citrobacter	O23	AWU66675.1	440	12	-
Citrobacter	O24	AWU66681.1	386	12	PF04932.20
Citrobacter	O38	AWU66741.1	423	12	PF04932.20
Citrobacter	O41	AWU66755.1	385	12	PF14897.12
Ecloacae	O1	QHR93073.1	389	12	PF04932.20
Ecloacae	O10	QHR93177.1	442	12	-
Ecloacae	O11	QHR93191.1	442	12	TIGR04370.1
Ecloacae	O12	QHR93204.1	388	10	TIGR04370.1
Ecloacae	O13	QHR93215.1	336	11	PF14897.12
Ecloacae	O14	QHR93227.1	441	12	PF19982.4
Ecloacae	O15	QHR93244.1	365	12	PF14897.12
Ecloacae	O16	QHR93256.1	382	10	TIGR04370.1
Ecloacae	O17	QHR93266.1	391	11	TIGR04370.1
Ecloacae	O18	QHR93279.1	437	11	TIGR04370.1
Ecloacae	O19	QHR93285.1	424	11	PF06899.16
Ecloacae	O20	QHR93298.1	351	12	PF14897.12
Ecloacae	O21	QHR93310.1	440	12	PF19982.4
Ecloacae	O22	QHR93318.1	409	13	PF14897.12
Ecloacae	O24	QHR93343.1	434	11	PF14296.11
Ecloacae	O26	QHR93353.1	383	12	PF14897.12
Ecloacae	O27	QHR93376.1	432	11	-
Ecloacae	O3	QHR93084.1	439	13	PF04932.20
Ecloacae	O30	QHR93392.1	379	12	PF04932.20
Ecloacae	O4	QHR93104.1	395	12	PF14897.12
Ecloacae	O5	QHR93118.1	445	12	PF19982.4
Ecloacae	O6	QHR93127.1	416	12	-
Ecloacae	O7	QHR93136.1	382	12	PF14897.12
Ecloacae	O8	QHR93146.1	411	12	PF04932.20
Ecloacae	O9	QHR93163.1	442	12	-
Ecoli	O1	ADC54929.1	334	11	PF14897.12
Ecoli	O10	AIG62532.1	347	12	PF14897.12
Ecoli	O100	AIG62814.1	389	12	PF04932.20
Ecoli	O102	AFS33314.1	376	12	PF04932.20
Ecoli	O103	AAS73171.1	382	12	PF14897.12
Ecoli	O104	AAK64372.1	370	12	PF14897.12
Ecoli	O105	ACA24829.1	342	12	PF14897.12
Ecoli	O106	AAY23745.1	443	12	TIGR04370.1
Ecoli	O107	ACH97132.1	440	11	PF14296.11
Ecoli	O108	AJR19457.1	412	11	TIGR04370.1
Ecoli	O109	ADR74237.1	406	12	-
Ecoli	O11	ADV17650.1	411	12	PF14897.12
Ecoli	O110	BAQ01533.1	401	12	-
Ecoli	O111	AAD46730.1	350	11	PF04932.20
Ecoli	O112ab	ACD37086.1	392	12	PF14897.12
Ecoli	O112ac	ACD37014.1	361	12	-
Ecoli	O113	AAD50486.1	395	12	PF14897.12
Ecoli	O114	AAT77177.1	443	11	TIGR04370.1
Ecoli	O115	ADN43838.1	355	11	-
Ecoli	O116	BAQ01563.1	386	12	PF14897.12
Ecoli	O117	ACH97143.1	440	11	PF14296.11
Ecoli	O118	ABM53642.1	366	12	PF14897.12
Ecoli	O119	ADB02825.1	400	10	NF033860.0
Ecoli	O12	AIG62543.1	367	12	PF14897.12
Ecoli	O120	BAQ01584.1	419	13	PF14897.12
Ecoli	O121	AFC91472.1	396	10	NF033860.0
Ecoli	O123	BAQ02224.1	416	10	NF033860.0
Ecoli	O124	ACD37138.1	367	12	PF14897.12
Ecoli	O125ab	AKM71200.1	440	12	TIGR04370.1
Ecoli	O126	ABE98419.1	347	12	-
Ecoli	O127	AAR90892.1	388	10	-
Ecoli	O128	AAO37701.1	347	12	PF14897.12
Ecoli	O129	ACD37181.1	382	12	-
Ecoli	O13	BAQ02138.1	382	12	-
Ecoli	O130	ACD37157.1	371	12	PF04932.20
Ecoli	O131	AIG62402.1	434	13	PF14897.12
Ecoli	O132	AIG62486.1	399	12	-
Ecoli	O133	AIG62394.1	385	11	TIGR04370.1
Ecoli	O134	BAQ01687.1	379	12	TIGR04370.1
Ecoli	O135	ACD37173.1	382	12	-
Ecoli	O136	AIG62419.1	410	12	PF04932.20
Ecoli	O137	AIG62424.1	408	12	PF13425.11
Ecoli	O138	AAZ85713.1	403	12	PF04932.20
Ecoli	O139	AIG62435.1	412	11	PF04932.20
Ecoli	O140	AIG62480.1	396	13	PF14897.12
Ecoli	O141	ABI98976.1	368	12	PF14897.12
Ecoli	O142	AGN91838.1	392	11	TIGR04370.1
Ecoli	O143	ACA24764.1	360	10	-
Ecoli	O144	AIG62452.1	402	13	PF14897.12
Ecoli	O145	AAX58762.1	395	12	-
Ecoli	O146	ABE98437.1	392	12	-
Ecoli	O147	ABI98986.1	395	12	-
Ecoli	O148	ABA42232.1	380	11	TIGR04370.1
Ecoli	O149	AAZ65837.1	354	12	PF14897.12
Ecoli	O15	AAV74543.1	392	12	-
Ecoli	O150	ACA24803.1	365	12	PF14897.12
Ecoli	O151	ADQ37322.1	366	12	PF14897.12
Ecoli	O152	ACA24821.1	357	12	PF14897.12
Ecoli	O153	BAQ01759.1	357	12	-
Ecoli	O154	BAQ01780.1	346	10	-
Ecoli	O155	AAV74550.1	317	11	PF14897.12
Ecoli	O156	AIG62555.1	401	12	-
Ecoli	O157	AAC32340.1	394	10	TIGR04370.1
Ecoli	O158	ADN43871.1	383	12	PF04932.20
Ecoli	O159	ACA24890.1	337	10	-
Ecoli	O16	BAQ00653.1	388	11	TIGR04370.1
Ecoli	O160	BAQ01812.1	366	12	-
Ecoli	O161	ADJ19203.1	395	12	PF04932.20
Ecoli	O163	AJR19405.1	411	10	NF033860.0
Ecoli	O164	ACD37146.1	367	12	PF14897.12
Ecoli	O165	ADN43883.1	445	12	PF19982.4
Ecoli	O166	ADC54957.1	357	12	PF14897.12
Ecoli	O167	ACD37046.1	416	12	-
Ecoli	O168	ACD36996.1	410	12	PF04932.20
Ecoli	O169	AIG62720.1	350	12	PF14897.12
Ecoli	O17	BAQ02105.1	443	12	TIGR04370.1
Ecoli	O170	AIG62733.1	390	12	PF04932.20
Ecoli	O171	AIG56920.2	383	12	PF04932.20
Ecoli	O172	AAT28922.1	391	10	NF033860.0
Ecoli	O173	ADN43894.1	359	12	PF14897.12
Ecoli	O174	AAY28249.1	379	12	PF04932.20
Ecoli	O175	AIG56909.1	376	12	-
Ecoli	O176	AIG62743.1	443	12	-
Ecoli	O177	AAY28257.1	428	12	-
Ecoli	O178	AIG62747.1	365	12	-
Ecoli	O179	AIG62759.1	367	11	-
Ecoli	O18	ADC54950.1	396	11	TIGR04370.1
Ecoli	O180	AFN02899.1	404	10	TIGR04370.1
Ecoli	O181	AIG62769.1	416	13	PF14897.12
Ecoli	O182	AIG62775.1	408	12	-
Ecoli	O183	BAL03056.1	350	12	PF14897.12
Ecoli	O184	BAQ02031.1	447	13	-
Ecoli	O185	BAQ02048.1	456	12	PF14296.11
Ecoli	O186	BAQ02068.1	416	10	NF033860.0
Ecoli	O187	AIG56949.1	425	12	-
Ecoli	O19	BAQ00705.1	374	11	TIGR04370.1
Ecoli	O2	ACD75809.1	320	11	PF14897.12
Ecoli	O21	ACH97162.1	360	12	PF14897.12
Ecoli	O22	ABI34562.1	411	12	PF04932.20
Ecoli	O23	AIG62571.1	341	12	PF14897.12
Ecoli	O24	AIG62584.1	350	12	PF14897.12
Ecoli	O25	ADI43263.1	353	10	-
Ecoli	O26	AAN60459.1	340	12	PF14897.12
Ecoli	O27	ADI43271.1	410	11	PF14897.12
Ecoli	O28ab	AJR19372.1	413	10	NF033860.0
Ecoli	O29	ACA24852.1	387	12	PF14897.12
Ecoli	O3	ACH97152.1	361	12	PF14897.12
Ecoli	O30	AIG62591.1	408	12	-
Ecoli	O32	ACD37058.1	403	12	-
Ecoli	O33	AIG62598.1	400	12	-
Ecoli	O34	AIG62789.1	340	11	PF14897.12
Ecoli	O35	ACV67289.1	340	11	PF14897.12
Ecoli	O36	BAQ00830.1	418	11	-
Ecoli	O37	AIG62499.1	377	12	PF04932.20
Ecoli	O38	AJR19362.1	408	13	PF14897.12
Ecoli	O39	BAQ00879.1	415	10	NF033860.0
Ecoli	O4	AAT85653.1	395	12	PF14897.12
Ecoli	O40	ACD37117.1	401	12	-
Ecoli	O41	BAQ00893.1	398	13	PF14897.12
Ecoli	O42	BAQ00911.1	459	12	PF14296.11
Ecoli	O43	AIG62638.1	403	12	-
Ecoli	O44	WP_000549530.1	443	12	TIGR04370.1
Ecoli	O45	AAX07747.1	382	10	TIGR04370.1
Ecoli	O46	BAQ00957.1	379	12	TIGR04370.1
Ecoli	O48	AIG62384.1	373	12	PF04932.20
Ecoli	O49	BAQ00994.1	384	12	-
Ecoli	O50	BAQ01012.1	320	11	PF14897.12
Ecoli	O51	BAQ01024.1	345	12	PF14897.12
Ecoli	O53	ABZ79721.1	430	12	PF04932.20
Ecoli	O54	BAQ02116.1	352	12	PF14897.12
Ecoli	O55	AAL67557.1	325	11	PF14897.12
Ecoli	O56	ABB29916.1	349	12	PF14897.12
Ecoli	O58	ACA24882.1	443	12	-
Ecoli	O59	AAV74376.1	389	10	NF033860.0
Ecoli	O5ab	AJR19356.1	438	11	TIGR04370.1
Ecoli	O6	CAD19991.1	447	12	PF14296.11
Ecoli	O61	ADJ19217.1	385	11	-
Ecoli	O62	AGN91809.1	372	10	-
Ecoli	O63	ACD75796.1	436	11	-
Ecoli	O64	BAQ01114.1	409	12	PF04932.20
Ecoli	O65	AJR19392.1	423	11	TIGR04370.1
Ecoli	O66	AAZ20761.1	420	10	NF033860.0
Ecoli	O68	AIT92164.1	372	10	-
Ecoli	O69	AIG62798.1	371	12	PF14897.12
Ecoli	O7	AAD44158.1	383	10	NF033860.0
Ecoli	O70	CBN82200.1	426	11	-
Ecoli	O71	ADI77033.1	429	11	TIGR04370.1
Ecoli	O73	AAY23733.1	443	12	TIGR04370.1
Ecoli	O74	BAQ01207.1	391	12	PF04932.20
Ecoli	O75	AIG62607.1	357	12	PF14897.12
Ecoli	O76	BAQ01218.1	410	12	PF04932.20
Ecoli	O77	AAY23739.1	443	12	-
Ecoli	O78	AIG62619.1	373	12	PF14897.12
Ecoli	O79	AIG62648.1	363	10	-
Ecoli	O8	BAQ00597.1	416	12	-
Ecoli	O80	BAQ01238.1	408	12	-
Ecoli	O81	AIG62868.1	409	13	PF14897.12
Ecoli	O82	BAQ01266.1	360	12	-
Ecoli	O83	AIG62838.1	411	12	-
Ecoli	O84	AJE24489.1	383	12	PF14897.12
Ecoli	O85	AIG62657.1	372	12	-
Ecoli	O86:B7	AAO37717.1	466	12	PF14296.11
Ecoli	O87	ACA24901.1	384	12	PF14897.12
Ecoli	O88	AIG62878.1	424	12	-
Ecoli	O90	BAQ01361.1	385	10	-
Ecoli	O91	AAK60458.1	403	12	-
Ecoli	O93	BAQ01386.1	503	14	-
Ecoli	O96	AIG62627.1	416	12	PF04932.20
Ecoli	O98	ABB04486.1	384	10	-
Ecoli	OgN1	BAU71558.1	416	12	-
Ecoli	OgN12	BAU71625.1	353	12	PF14897.12
Ecoli	OgN13	BAV90482.1	355	12	PF14897.12
Ecoli	OgN14	BAV90498.1	384	12	PF14897.12
Ecoli	OgN15	BAV90511.1	413	11	PF06899.16
Ecoli	OgN16	BAV90529.1	406	11	PF19863.4
Ecoli	OgN17	BAV90548.1	438	12	-
Ecoli	OgN2	BAV90417.1	337	12	PF14897.12
Ecoli	OgN3	BAV90433.1	392	10	TIGR04370.1
Ecoli	OgN31	BAU71639.1	402	10	NF033860.0
Ecoli	OgN4	BAV90441.1	462	14	-
Ecoli	OgN5	BAU71572.1	389	12	PF04932.20
Ecoli	OgN9	BAU71586.1	392	10	NF033860.0
Ecoli	OX13	AJR19385.1	387	12	-
Ecoli	OX18	AIG62370.1	396	12	-
Ecoli	OX25	AJR19416.1	349	12	PF14897.12
Ecoli	ECA	PAY77806.1	450	11	PF06899
Klebsiella	KL1	KaptiveDB	408	13	PF04932.20
Klebsiella	KL10	KaptiveDB	405	12	PF04932.20
Klebsiella	KL101	KaptiveDB	390	12	PF14897.12
Klebsiella	KL102	KaptiveDB	432	11	PF14897.12
Klebsiella	KL103	KaptiveDB	409	13	PF14897.12
Klebsiella	KL104	KaptiveDB	420	12	PF04932.20
Klebsiella	KL105	KaptiveDB	394	12	PF04932.20
Klebsiella	KL106	KaptiveDB	381	12	TIGR04370.1
Klebsiella	KL108	KaptiveDB	400	12	TIGR04010.1
Klebsiella	KL109	KaptiveDB	394	12	-
Klebsiella	KL11	KaptiveDB	349	10	PF14897.12
Klebsiella	KL110	KaptiveDB	321	10	PF14897.12
Klebsiella	KL111	KaptiveDB	384	12	PF04932.20
Klebsiella	KL112	KaptiveDB	402	12	PF04932.20
Klebsiella	KL114	KaptiveDB	422	11	TIGR04370.1
Klebsiella	KL115	KaptiveDB	335	11	PF14897.12
Klebsiella	KL116	KaptiveDB	330	10	PF14897.12
Klebsiella	KL117	KaptiveDB	394	12	PF04932.20
Klebsiella	KL118	KaptiveDB	377	12	PF14897.12
Klebsiella	KL119	KaptiveDB	440	12	PF04932.20
Klebsiella	KL12	KaptiveDB	395	10	TIGR04370.1
Klebsiella	KL120	KaptiveDB	398	12	PF14897.12
Klebsiella	KL121	KaptiveDB	443	12	PF04932.20
Klebsiella	KL122	KaptiveDB	407	12	-
Klebsiella	KL123	KaptiveDB	347	12	PF14897.12
Klebsiella	KL124	KaptiveDB	386	12	PF14897.12
Klebsiella	KL125	KaptiveDB	422	12	PF14897.12
Klebsiella	KL127	KaptiveDB	426	11	PF14296.11
Klebsiella	KL128	KaptiveDB	391	10	TIGR04370.1
Klebsiella	KL13	KaptiveDB	418	12	PF04932.20
Klebsiella	KL130	KaptiveDB	424	12	PF04932.20
Klebsiella	KL131	KaptiveDB	337	11	PF14897.12
Klebsiella	KL132	KaptiveDB	410	12	PF04932.20
Klebsiella	KL133	KaptiveDB	430	12	-
Klebsiella	KL134	KaptiveDB	373	10	-
Klebsiella	KL135	KaptiveDB	377	12	PF14897.12
Klebsiella	KL136	KaptiveDB	414	13	PF14897.12
Klebsiella	KL137	KaptiveDB	327	11	PF14897.12
Klebsiella	KL138	KaptiveDB	399	13	PF14897.12
Klebsiella	KL139	KaptiveDB	399	13	PF14897.12
Klebsiella	KL14	KaptiveDB	402	12	PF04932.20
Klebsiella	KL140	KaptiveDB	400	13	PF14897.12
Klebsiella	KL141	KaptiveDB	399	12	PF04932.20
Klebsiella	KL142	KaptiveDB	370	12	-
Klebsiella	KL143	KaptiveDB	403	12	PF04932.20
Klebsiella	KL144	KaptiveDB	405	12	-
Klebsiella	KL145	KaptiveDB	386	12	PF14897.12
Klebsiella	KL146	KaptiveDB	397	12	-
Klebsiella	KL147	KaptiveDB	402	12	PF04932.20
Klebsiella	KL149	KaptiveDB	373	12	PF14897.12
Klebsiella	KL15	KaptiveDB	411	13	PF14897.12
Klebsiella	KL150	KaptiveDB	365	12	-
Klebsiella	KL151	KaptiveDB	393	11	-
Klebsiella	KL152	KaptiveDB	425	13	PF14897.12
Klebsiella	KL153	KaptiveDB	424	13	-
Klebsiella	KL154	KaptiveDB	397	12	-
Klebsiella	KL155	KaptiveDB	423	10	TIGR04370.1
Klebsiella	KL156-D1	KaptiveDB	382	12	-
Klebsiella	KL157	KaptiveDB	396	12	PF04932.20
Klebsiella	KL158	KaptiveDB	404	13	PF14897.12
Klebsiella	KL159	KaptiveDB	396	10	TIGR04370.1
Klebsiella	KL16	KaptiveDB	436	11	-
Klebsiella	KL160	KaptiveDB	410	12	PF04932.20
Klebsiella	KL162	KaptiveDB	392	10	TIGR04370.1
Klebsiella	KL163	KaptiveDB	407	12	TIGR04370.1
Klebsiella	KL164	KaptiveDB	288	10	PF14897.12
Klebsiella	KL165	KaptiveDB	350	12	PF14897.12
Klebsiella	KL166	KaptiveDB	402	13	PF14897.12
Klebsiella	KL167	KaptiveDB	390	11	PF04932.20
Klebsiella	KL168	KaptiveDB	402	12	PF04932.20
Klebsiella	KL169	KaptiveDB	390	10	TIGR04370.1
Klebsiella	KL17	KaptiveDB	443	13	-
Klebsiella	KL170	KaptiveDB	390	12	PF14897.12
Klebsiella	KL171	KaptiveDB	381	12	TIGR04370.1
Klebsiella	KL172	KaptiveDB	384	13	PF14897.12
Klebsiella	KL173	KaptiveDB	338	10	-
Klebsiella	KL174	KaptiveDB	422	12	-
Klebsiella	KL175	KaptiveDB	397	13	PF14897.12
Klebsiella	KL176	KaptiveDB	353	10	-
Klebsiella	KL177	KaptiveDB	411	12	PF04932.20
Klebsiella	KL178	KaptiveDB	409	12	-
Klebsiella	KL179	KaptiveDB	406	13	PF14897.12
Klebsiella	KL18	KaptiveDB	402	12	-
Klebsiella	KL180	KaptiveDB	320	11	PF14897.12
Klebsiella	KL181	KaptiveDB	323	11	PF14897.12
Klebsiella	KL182	KaptiveDB	381	12	PF04932.20
Klebsiella	KL183	KaptiveDB	340	11	PF14897.12
Klebsiella	KL184	KaptiveDB	373	12	PF14897.12
Klebsiella	KL185	KaptiveDB	409	13	PF14897.12
Klebsiella	KL186	KaptiveDB	398	12	PF04932.20
Klebsiella	KL19	KaptiveDB	346	11	PF14897.12
Klebsiella	KL2	KaptiveDB	429	12	PF04932.20
Klebsiella	KL20	KaptiveDB	410	12	PF04932.20
Klebsiella	KL21	KaptiveDB	407	12	-
